iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed
NLD,Europe,Netherlands,2021-03-12,1153300.0,6400.0,5097.714,16051.0,26.0,37.429
GRD,North America,Grenada,2021-08-10,180.0,2.0,2.286,1.0,0.0,0.0
RWA,Africa,Rwanda,2020-11-14,5394.0,32.0,25.857,42.0,0.0,0.857
JAM,North America,Jamaica,2022-01-30,124102.0,1055.0,648.143,2650.0,15.0,8.0
NGA,Africa,Nigeria,2022-02-06,253727.0,42.0,100.571,3139.0,0.0,0.571
ETH,Africa,Ethiopia,2021-10-30,364960.0,384.0,410.286,6451.0,14.0,14.857
ISL,Europe,Iceland,2021-03-28,6163.0,0.0,9.429,29.0,0.0,0.0
MNG,Asia,Mongolia,2021-06-28,111505.0,1811.0,2240.857,533.0,0.0,10.571
GRD,North America,Grenada,2021-12-31,6181.0,0.0,33.286,200.0,0.0,0.0
ETH,Africa,Ethiopia,2021-03-08,167133.0,995.0,1023.0,2442.0,13.0,9.857
MCO,Europe,Monaco,2021-07-21,2728.0,11.0,11.429,33.0,0.0,0.0
NOR,Europe,Norway,2020-10-02,14284.0,135.0,105.571,275.0,1.0,0.714
ZAF,Africa,South Africa,2021-10-03,2906422.0,809.0,1354.143,87780.0,27.0,104.0
HRV,Europe,Croatia,2020-07-14,3827.0,52.0,79.286,120.0,1.0,1.0
MSR,North America,Montserrat,2020-08-29,13.0,0.0,0.0,1.0,0.0,0.0
KEN,Africa,Kenya,2022-02-05,322043.0,121.0,115.571,5607.0,3.0,4.143
VEN,South America,Venezuela,2022-01-08,446427.0,401.0,228.429,5348.0,3.0,2.429
SYR,Asia,Syria,2020-10-14,4883.0,57.0,54.143,234.0,3.0,3.143
CRI,North America,Costa Rica,2021-05-08,265486.0,0.0,2070.714,3365.0,0.0,19.143
KWT,Asia,Kuwait,2020-11-01,126534.0,608.0,699.857,782.0,3.0,5.143
CZE,Europe,Czechia,2020-04-21,7033.0,133.0,131.714,201.0,7.0,5.714
MLT,Europe,Malta,2020-09-12,2274.0,27.0,37.143,15.0,0.0,0.143
ROU,Europe,Romania,2020-05-07,14499.0,392.0,322.714,888.0,24.0,24.429
ABW,North America,Aruba,2021-04-28,10585.0,15.0,21.143,98.0,0.0,0.571
MEX,North America,Mexico,2020-12-01,1122362.0,8819.0,8887.143,106765.0,825.0,575.143
HUN,Europe,Hungary,2021-05-17,798573.0,426.0,883.857,29213.0,38.0,74.286
MRT,Africa,Mauritania,2021-05-30,19494.0,31.0,49.286,463.0,0.0,0.714
NOR,Europe,Norway,2021-04-26,111162.0,550.0,447.714,736.0,0.0,3.857
OMN,Asia,Oman,2021-03-23,152364.0,836.0,622.0,1633.0,4.0,2.714
SOM,Africa,Somalia,2021-06-29,14933.0,0.0,9.286,775.0,0.0,0.0
TUR,Asia,Turkey,2021-05-31,5249404.0,6493.0,7913.429,47527.0,122.0,154.429
NGA,Africa,Nigeria,2020-05-03,2558.0,170.0,183.571,87.0,2.0,6.714
BRN,Asia,Brunei,2020-08-04,141.0,0.0,0.0,3.0,0.0,0.0
MSR,North America,Montserrat,2021-11-13,41.0,0.0,0.0,1.0,0.0,0.0
GTM,North America,Guatemala,2022-04-01,829881.0,1007.0,962.286,17318.0,6.0,6.286
BWA,Africa,Botswana,2022-01-07,229855.0,0.0,1478.0,2475.0,0.0,4.429
UZB,Asia,Uzbekistan,2022-03-04,236771.0,84.0,105.0,1637.0,0.0,1.286
NIC,North America,Nicaragua,2021-12-20,17391.0,0.0,9.0,215.0,0.0,0.143
BMU,North America,Bermuda,2021-03-13,735.0,3.0,1.857,12.0,0.0,0.0
QAT,Asia,Qatar,2021-01-24,149019.0,247.0,248.857,248.0,0.0,0.286
PRT,Europe,Portugal,2022-03-16,3413013.0,0.0,6506.286,21342.0,0.0,10.714
SLE,Africa,Sierra Leone,2020-07-12,1635.0,17.0,13.286,63.0,0.0,0.143
